position,token,token_id,probability,log_probability,entropy
0,William,17121,0.18970777094364166,-1.662270426750183,2.754086494445801
1, the,262,0.4826083183288574,-0.7285498976707458,1.8989249467849731
2, Conquer,40963,0.9038610458374023,-0.10107964277267456,0.5319389700889587
3,or,273,1.0,0.0,-0.0
4, is,318,0.04353320226073265,-3.1342313289642334,2.773759603500366
5, known,1900,0.04849804937839508,-3.0262317657470703,2.9059653282165527
6, from,422,0.03596322983503342,-3.325258255004883,2.055609941482544
7, about,546,0.012595606967806816,-4.3744072914123535,2.5447115898132324
8, 10,838,0.07691275328397751,-2.5650835037231445,3.4979143142700195
9,50,1120,0.021496621891856194,-3.8398594856262207,2.9093706607818604
10, b,275,0.004865867551416159,-5.325510025024414,2.9762253761291504
11,.,13,0.7605789303779602,-0.2736753821372986,0.9008795022964478
12,c,66,0.5850065350532532,-0.536132276058197,1.5610578060150146
13,".,",1539,0.15826824307441711,-1.8434638977050781,0.5862210988998413
14, when,618,0.2874079942703247,-1.2468525171279907,2.8331873416900635
15, the,262,0.18179555237293243,-1.7048726081848145,2.080512285232544
16, King,2677,0.014257412403821945,-4.250478267669678,2.954054355621338
17, ab,450,0.0036396628711372614,-5.615864276885986,1.784043788909912
18,d,67,0.734930694103241,-0.3079790771007538,1.2643256187438965
19,icated,3474,0.95947265625,-0.041371461004018784,0.16961641609668732
20, and,290,0.11295995116233826,-2.1807219982147217,2.4109299182891846
21, became,2627,0.10109131783246994,-2.291731119155884,3.1666157245635986
22, a,257,0.12758760154247284,-2.0589520931243896,2.943671941757202
23, Norman,19636,0.13127368688583374,-2.030470848083496,3.3554000854492188
24,",",11,0.057532504200935364,-2.85540509223938,3.081660747528076
25, though,996,0.04302813112735748,-3.1459012031555176,3.0646181106567383
26, the,262,0.09646082669496536,-2.338618278503418,2.8900399208068848
27, name,1438,0.04233228415250778,-3.162205219268799,3.2156596183776855
28, William,3977,0.10510920733213425,-2.2527554035186768,2.99574875831604
29, is,318,0.2218516618013382,-1.5057463645935059,2.9037365913391113
30, never,1239,0.012533336877822876,-4.379363059997559,3.299534320831299
31, recorded,6264,0.08858004212379456,-2.4238486289978027,2.998055934906006
32, in,287,0.15758757293224335,-1.8477740287780762,2.329320192337036
33, the,262,0.32084769010543823,-1.1367887258529663,2.7271370887756348
34, records,4406,0.09753401577472687,-2.3275539875030518,3.421398162841797
35, or,393,0.014842783100903034,-4.210241317749023,1.7423051595687866
36, documents,4963,0.051616162061691284,-2.9639203548431396,3.331428289413452
37, of,286,0.31972402334213257,-1.1402970552444458,2.339362382888794
38, England,4492,0.05543563887476921,-2.8925325870513916,2.5815749168395996
39, for,329,0.013539699837565422,-4.30212926864624,2.068908452987671
40, more,517,0.08356405794620514,-2.4821417331695557,2.9981689453125
41, than,621,1.0,0.0,-0.0
42, 100,1802,0.03980238735675812,-3.2238283157348633,3.3967936038970947
43, years,812,0.9445511698722839,-0.05704541504383087,0.29333752393722534
44,.,13,0.6383999586105347,-0.4487903118133545,1.5037480592727661
45, The,383,0.12272561341524124,-2.097804307937622,2.7265822887420654
46, Normandy,43231,0.007094497326761484,-4.9484357833862305,2.8799030780792236
47, King,2677,0.020848626270890236,-3.870467185974121,3.5967204570770264
48,",",11,0.12296465039253235,-2.095858335494995,3.1725265979766846
49, Henry,8616,0.05159379169344902,-2.9643540382385254,3.1728124618530273
50, of,286,0.055268965661525726,-2.8955438137054443,2.4215235710144043
51, Nav,13244,0.3608401119709015,-1.0193202495574951,2.7769501209259033
52,arre,9624,1.0,0.0,-0.0
53,",",11,0.7434037923812866,-0.29651591181755066,1.0933706760406494
54, was,373,0.23042736947536469,-1.4678195714950562,3.1209816932678223
55,",",11,0.008998284116387367,-4.710721492767334,3.13576340675354
56, perhaps,3737,0.0291590578854084,-3.534989595413208,3.044471502304077
57,",",11,0.45133358240127563,-0.7955485582351685,2.4719674587249756
58, the,262,0.3840167820453644,-0.9570690393447876,2.707273483276367
59, most,749,0.20692723989486694,-1.5753880739212036,2.6568000316619873
60, prominent,9208,0.09494712948799133,-2.3544349670410156,2.7431907653808594
61, Norman,19636,0.33310624957084656,-1.0992937088012695,2.6725893020629883
62, warrior,16491,0.07643671333789825,-2.5712921619415283,3.4482245445251465
63, in,287,0.15866704285144806,-1.8409473896026611,2.5326850414276123
64, Italy,8031,0.004414072725921869,-5.422957420349121,2.5548291206359863
65, until,1566,0.011595160700380802,-4.457167625427246,2.424201488494873
66, he,339,0.19094966351985931,-1.6557453870773315,2.439077377319336
67, acquired,9477,0.006665135268121958,-5.010865211486816,2.952016830444336
68, important,1593,0.0050024716183543205,-5.297822952270508,2.4221694469451904
69, military,2422,0.09165621548891068,-2.3897104263305664,3.5409233570098877
70, and,290,0.27432313561439514,-1.293448567390442,3.134279251098633
71, civilian,11107,0.004165402613580227,-5.480942249298096,2.9175148010253906
72, leadership,5531,0.03087698295712471,-3.4777443408966064,3.6007165908813477
73,.,13,0.22038646042346954,-1.512372612953186,2.750704765319824
74, He,679,0.1481873244047165,-1.909278154373169,2.9839072227478027
75, was,373,0.3390411138534546,-1.0816339254379272,2.944120407104492
76, known,1900,0.03579813241958618,-3.329859495162964,3.2415201663970947
77, by,416,0.061292875558137894,-2.7920916080474854,2.0429089069366455
78, numerous,6409,0.024585971608757973,-3.7055792808532715,2.267758846282959
79, titles,8714,0.09790471941232681,-2.323760509490967,2.4616520404815674
